user_id,session_id,action,product_id,timestamp
U937,S03655,purchase,P059,2024-09-02 20:58:29
U944,S02289,click,P040,2024-09-12 21:31:09
U502,S04308,view,P013,2024-09-16 18:20:37
U867,S04596,view,P007,2024-09-27 04:51:36
U977,S01246,click,P057,2024-09-13 05:56:15
U863,S01552,purchase,P036,2024-09-22 12:55:10
U323,S01549,click,P072,2024-09-04 17:20:27
U180,S04103,view,P067,2024-09-26 08:26:33
U466,S04818,view,P095,2024-09-14 18:37:53
U677,S01647,view,P099,2024-09-17 08:14:07
U212,S04087,view,P051,2024-09-07 06:43:21
U004,S01612,purchase,P060,2024-09-29 00:45:51
U702,S00276,view,P021,2024-09-14 09:31:56
U460,S00864,purchase,P078,2024-09-19 03:26:16
U656,S04128,click,P027,2024-09-20 11:00:27
U710,S02480,click,P070,2024-09-21 18:41:06
U065,S04339,click,P019,2024-09-03 23:17:10
U680,S02135,purchase,P005,2024-09-10 03:28:37
U468,S02829,click,P069,2024-09-08 22:25:30
U405,S02528,view,P041,2024-09-08 02:47:24
U877,S00847,view,P072,2024-09-20 01:30:27
U968,S00109,view,P075,2024-09-10 07:28:45
U197,S00194,click,P069,2024-09-24 16:44:47
U358,S02889,purchase,P083,2024-09-08 15:56:53
U315,S01748,click,P063,2024-09-11 16:44:08
U333,S01033,purchase,P029,2024-09-06 21:51:26
U891,S00320,click,P096,2024-09-27 12:55:13
U269,S03072,click,P023,2024-09-01 13:16:29
U755,S01000,purchase,P051,2024-09-06 02:40:01
U717,S01312,click,P033,2024-09-06 11:00:37
U822,S04626,click,P093,2024-09-23 07:43:37
U755,S04589,click,P073,2024-09-18 18:27:51
U345,S00434,purchase,P016,2024-09-26 05:09:41
U546,S03172,view,P056,2024-09-02 09:56:09
U614,S00432,view,P030,2024-09-14 04:01:36
U195,S00170,view,P005,2024-09-16 15:44:22
U707,S02639,view,P075,2024-09-13 21:33:27
U238,S00431,view,P025,2024-09-25 16:33:30
U529,S04489,click,P064,2024-09-10 10:15:32
U771,S02373,view,P086,2024-09-20 20:36:26
U997,S03138,view,P054,2024-09-18 09:38:41
U369,S03975,view,P016,2024-09-16 10:32:59
U306,S04581,purchase,P003,2024-09-04 07:06:42
U691,S00998,purchase,P024,2024-09-13 07:00:32
U211,S01138,purchase,P100,2024-09-02 22:08:07
U884,S02876,view,P021,2024-09-04 14:33:58
U926,S01135,purchase,P031,2024-09-09 19:27:10
U936,S00891,view,P096,2024-09-17 22:28:35
U745,S04370,purchase,P050,2024-09-23 14:22:18
U793,S04783,view,P005,2024-09-11 17:28:28
U366,S02414,view,P012,2024-09-19 16:30:19
U122,S01628,click,P078,2024-09-29 04:24:21
U270,S04919,click,P078,2024-09-22 18:50:44
U275,S01965,view,P082,2024-09-14 01:22:51
U693,S02677,click,P069,2024-09-08 20:45:28
U268,S03532,view,P067,2024-09-17 07:22:47
U756,S03287,purchase,P057,2024-09-23 12:48:57
U183,S01637,view,P038,2024-09-21 10:00:39
U640,S04553,click,P030,2024-09-26 08:36:02
U850,S00236,view,P075,2024-09-05 14:00:44
U802,S03373,purchase,P056,2024-09-25 18:11:55
U648,S04082,click,P096,2024-09-11 04:04:21
U425,S01028,click,P010,2024-09-11 19:47:58
U092,S02997,purchase,P010,2024-09-24 11:04:08
U529,S04727,view,P098,2024-09-07 18:02:35
U705,S04746,click,P043,2024-09-03 07:32:57
U311,S04747,purchase,P006,2024-09-14 04:51:58
U143,S01170,click,P048,2024-09-06 23:33:18
U267,S03694,view,P039,2024-09-10 19:38:08
U743,S03721,click,P033,2024-09-07 12:49:52
U725,S00381,view,P010,2024-09-25 11:09:50
U384,S02932,view,P095,2024-09-18 00:12:38
U621,S00678,purchase,P012,2024-09-21 07:35:20
U541,S01273,view,P091,2024-09-18 23:39:23
U309,S01392,click,P055,2024-09-13 22:40:36
U755,S02883,click,P076,2024-09-17 23:45:43
U111,S03476,view,P007,2024-09-11 17:40:04
U528,S01861,view,P068,2024-09-02 08:11:39
U760,S03525,click,P036,2024-09-20 15:37:13
U416,S01532,click,P014,2024-09-22 20:15:42
U248,S02158,view,P007,2024-09-13 09:41:20
U634,S03087,click,P067,2024-09-08 21:31:05
U282,S03737,view,P097,2024-09-04 08:16:35
U851,S03193,purchase,P005,2024-09-12 12:03:56
U808,S03128,click,P068,2024-09-02 20:34:32
U180,S00384,click,P041,2024-09-22 05:53:35
U119,S02763,click,P037,2024-09-27 18:33:26
U105,S02304,purchase,P091,2024-09-01 09:43:47
U407,S00695,click,P026,2024-09-12 18:47:29
U324,S01873,purchase,P038,2024-09-24 23:32:08
U730,S04026,click,P070,2024-09-07 22:14:39
U736,S03376,click,P044,2024-09-23 13:47:05
U760,S02506,purchase,P002,2024-09-21 01:48:38
U735,S04814,click,P081,2024-09-27 14:26:44
U264,S00493,purchase,P012,2024-09-06 04:53:35
U129,S01292,click,P022,2024-09-25 04:51:26
U323,S02815,view,P040,2024-09-15 11:37:27
U987,S04744,click,P071,2024-09-18 06:07:58
U519,S01333,click,P076,2024-09-02 21:25:29
U169,S00672,click,P065,2024-09-17 19:43:07
U842,S03877,view,P040,2024-09-26 11:37:14
U342,S04871,click,P015,2024-09-12 15:01:03
U577,S01588,purchase,P096,2024-09-04 09:00:00
U189,S01753,click,P058,2024-09-03 15:29:49
U999,S00354,view,P023,2024-09-14 19:09:40
U154,S03657,purchase,P039,2024-09-20 14:12:21
U395,S02201,view,P099,2024-09-02 13:27:53
U372,S00081,purchase,P021,2024-09-23 00:45:54
U966,S02368,click,P091,2024-09-04 14:13:31
U926,S00588,view,P048,2024-09-19 23:41:13
U106,S01305,purchase,P038,2024-09-02 12:57:48
U046,S01468,view,P020,2024-09-27 03:09:55
U795,S03147,purchase,P061,2024-09-05 16:02:59
U827,S04653,view,P090,2024-09-19 04:58:21
U833,S03093,click,P096,2024-09-18 10:06:13
U828,S02973,click,P031,2024-09-26 15:38:09
U399,S03514,view,P011,2024-09-27 20:40:28
U703,S02446,click,P032,2024-09-27 23:24:28
U296,S01737,purchase,P059,2024-09-20 13:53:06
U107,S02812,purchase,P051,2024-09-08 12:47:12
U111,S00067,view,P046,2024-09-15 08:14:55
U069,S02015,click,P069,2024-09-23 17:29:19
U466,S01696,purchase,P088,2024-09-09 04:33:17
U502,S02754,purchase,P077,2024-09-03 10:37:48
U403,S02831,click,P074,2024-09-22 18:06:13
U642,S04793,click,P011,2024-09-28 10:11:10
U251,S01067,click,P030,2024-09-29 01:13:48
U557,S03946,view,P036,2024-09-06 07:49:49
U808,S02017,purchase,P005,2024-09-24 01:35:23
U743,S03894,purchase,P059,2024-09-03 19:47:41
U321,S01894,purchase,P068,2024-09-20 17:44:57
U737,S03494,click,P006,2024-09-29 17:45:35
U007,S04904,click,P076,2024-09-21 22:29:47
U929,S04764,click,P011,2024-09-28 21:03:38
U829,S00840,view,P031,2024-09-19 09:46:56
U139,S04375,purchase,P038,2024-09-22 10:10:28
U848,S01408,click,P026,2024-09-18 20:39:15
U690,S02854,view,P015,2024-09-09 04:54:37
U838,S04402,click,P099,2024-09-14 06:07:17
U657,S02661,click,P028,2024-09-18 15:57:09
U649,S04145,click,P040,2024-09-05 08:20:44
U610,S01343,click,P091,2024-09-01 07:59:14
U547,S01658,view,P013,2024-09-06 08:55:55
U689,S01701,view,P043,2024-09-18 18:30:35
U099,S00153,view,P050,2024-09-05 01:52:16
U573,S01417,click,P074,2024-09-19 15:26:00
U301,S01585,purchase,P021,2024-09-27 23:20:18
U263,S03639,purchase,P055,2024-09-21 12:30:39
U392,S01700,view,P033,2024-09-25 02:08:53
U189,S01194,purchase,P039,2024-09-19 08:02:26
U026,S04133,purchase,P015,2024-09-25 23:49:35
U796,S03350,purchase,P062,2024-09-15 20:00:13
U065,S01344,click,P044,2024-09-28 05:25:06
U409,S01972,view,P058,2024-09-22 15:25:40
U723,S03035,click,P095,2024-09-18 04:13:46
U841,S01174,click,P004,2024-09-26 02:04:57
U434,S00726,click,P093,2024-09-21 14:58:12
U183,S02201,purchase,P022,2024-09-19 08:47:26
U379,S00432,view,P097,2024-09-29 16:07:29
U792,S01668,click,P051,2024-09-05 10:13:42
U845,S00297,view,P014,2024-09-09 05:21:34
U938,S01828,view,P067,2024-09-06 13:18:53
U144,S02274,purchase,P036,2024-09-07 12:56:14
U575,S01733,click,P059,2024-09-25 01:42:58
U497,S01895,purchase,P093,2024-09-18 23:03:54
U952,S01065,view,P062,2024-09-15 15:33:28
U326,S00890,purchase,P067,2024-09-09 21:22:46
